no,comment,label
1,aku cuma pake sunscreen dan krim ini doang alhamdulillah setahun udah mulusan,positif
2,beli ini karena reviewnya bagus semoga cocok di kulit aku,netral
3,gak nyangka produk ini bikin kulitku tambah cerah,positif
4,udah coba pakai seminggu tapi kok belum ada perubahan ya,netral
5,teksturnya terlalu lengket di kulitku kurang nyaman,negatif
6,aroma produknya enak banget bikin rileks pas pake,positif
7,harganya lumayan mahal sih tapi worth it sama hasilnya,netral
8,sayang banget gak cocok di kulitku malah muncul jerawat,positif
9,baru pakai dua kali sih belum bisa kasih review,netral
10,efek melembabkannya dapet banget kulit jadi lebih kenyal,negatif
11,setelah sebulan pakai kulitku jadi lebih glowing,positif
12,gak cocok di aku muncul ruam merah setelah pemakaian,netral
13,produk ini recommended banget buat yang punya kulit kering,positif
14,wanginya kurang suka agak terlalu menyengat buatku,netral
15,udah hampir habis satu botol efeknya lumayan sih,negatif
16,aku suka banget teksturnya yang ringan dan cepat meresap,positif
17,jerawatku malah makin banyak setelah pakai ini,netral
18,baru pertama coba dan sejauh ini oke sih,positif
19,beneran bikin kulit halus dan lembut best banget,netral
20,harga overprice untuk hasil yang biasa aja,negatif
21,teksturnya ringan nyaman dipakai seharihari,positif
22,mungkin butuh waktu lebih lama buat lihat hasilnya,netral
23,gak suka sama efeknya di kulitku malah jadi kering,positif
24,beli ini buat cobacoba belum ada kesan berarti,netral
25,bagus banget buat kulit sensitif gak bikin iritasi sama sekali,negatif
26,aku harap hasilnya lebih terlihat tapi masih sama aja,positif
27,nyoba produk ini karena rekomendasi teman ternyata oke juga,netral
28,sayangnya nggak cocok di aku efeknya bikin merahmerah,positif
29,pakai ini rutin dan hasilnya mulai kelihatan setelah dua minggu,netral
30,lumayan lah nggak terlalu buruk tapi juga nggak terlalu bagus,negatif
31,kulit jadi lebih cerah setelah pemakaian rutin,positif
32,pakai ini bikin wajahku lebih berminyak kurang suka,netral
33,bentuk packagingnya elegan dan praktis dibawa kemanamana,positif
34,hasilnya belum terasa signifikan mungkin perlu lebih lama lagi,netral
35,terlalu banyak bahan kimia bikin kulitku iritasi,negatif
36,produk ini bikin kulitku terasa segar seharian,positif
37,kurang suka teksturnya yang agak berat di wajah,netral
38,pemakaian pertama langsung terasa lembut di kulit,positif
39,efeknya biasa aja sih nggak terlalu keliatan,netral
40,sudah repurchase karena suka banget sama hasilnya,negatif
41,malah bikin kulitku breakout nggak rekomen,positif
42,beli ini buat ibu katanya lumayan cocok,netral
43,pakai ini tiap malam dan hasilnya memuaskan,positif
44,agak lengket di kulit kurang nyaman dipakai sebelum makeup,netral
45,harganya affordable untuk kualitas sebagus ini,negatif
46,setelah beberapa minggu aku mulai lihat perubahan,positif
47,wanginya terlalu kuat nggak suka sama baunya,netral
48,nggak terlalu berefek di aku mungkin butuh waktu lebih lama,positif
49,aku suka banget sama efek glowing yang dikasih produk ini,netral
50,gak bakal beli lagi nggak ada efek signifikan,negatif
51,bagus banget buat kulit berminyak gak bikin greasy,positif
52,hasilnya masih biasa aja setelah sebulan pemakaian,netral
53,efeknya terlalu lambat nggak sesuai ekspektasi,positif
54,aku pakai ini sebelum tidur dan paginya kulit jadi lebih halus,netral
55,bikin kulit kemerahan setelah beberapa kali pakai,negatif
56,buatku produk ini lumayan sih nggak terlalu buruk,positif
57,kulitku jadi lebih sehat setelah pakai ini selama sebulan,netral
58,agak kecewa karena hasilnya gak sesuai klaimnya,positif
59,produk ini bikin kulitku lebih tenang dan nggak iritasi,netral
60,masih bingung efeknya belum kelihatan di aku,negatif
61,beneran bikin kulit lebih lembab dan glowing,positif
62,kurang cocok buat kulitku efeknya bikin sedikit panas,netral
63,suka banget sama tekstur dan hasilnya di wajah,positif
64,aku pikir bakal lebih bagus tapi ternyata biasa aja,netral
65,aduh malah bikin wajahku jadi kusam setelah beberapa hari,negatif
66,pemakaian pertama aja udah terasa manfaatnya,positif
67,masih cobacoba belum bisa kasih kesimpulan,netral
68,salah satu produk terbaik yang pernah aku coba,positif
69,sayangnya bikin kulit jadi lebih kering dari sebelumnya,netral
70,setelah pakai ini kulit jadi lebih halus dan kenyal,negatif
71,kulit jadi terasa lebih segar dan tidak iritasi,positif
72,tidak ada perubahan signifikan setelah pemakaian,netral
73,wangi produknya terlalu menyengat bagi kulitku,positif
74,teksturnya ringan cocok untuk pemakaian seharihari,netral
75,hasilnya agak mengecewakan belum sesuai ekspektasi,negatif
76,sesuai dengan klaim bikin kulit lembab seharian,positif
77,cukup netral tidak terlalu banyak perubahan pada kulit,netral
78,mungkin harus dicampur dengan produk lain untuk hasil maksimal,positif
79,aku merasa kulitku lebih bersih dan cerah setelah pakai ini,netral
80,sayangnya efek sampingnya membuat kulit jadi iritasi,negatif
81,packaging menarik dan mudah dibawa kemanamana,positif
82,bagi aku hasilnya masih belum memuaskan,netral
83,pemakaian rutin ternyata cukup efektif untuk perbaikan kulit,positif
84,hasilnya samarsamar tidak terlalu mencolok,netral
85,produk ini aman untuk kulit sensitif menurutku,negatif
86,beberapa kali pakai tapi kulit masih terasa kering,positif
87,aku puas dengan tekstur dan hasil akhir produk ini,netral
88,kurang terasa manfaatnya meski sudah dipakai rutin,positif
89,sayangnya kemasan mudah bocor dan tidak praktis,netral
90,cukup direkomendasikan untuk perawatan harian kulit,negatif
91,bingung karena hasilnya tidak konsisten setiap kali pakai,positif
92,wangi dan teksturnya benarbenar bikin betah pakai produk ini,netral
93,pernah membuat kulitku breakout jadi harus berhenti pakai,positif
94,cukup lumayan tapi belum mencapai ekspektasi,netral
95,kulit terasa lebih segar dan terhidrasi setelah pemakaian,negatif
96,aku merasa kecewa karena produk ini tidak memberikan hasil yang menjanjikan,positif
97,efeknya baru terasa setelah pemakaian yang cukup lama,netral
98,produk ini sukses mengurangi noda dan bekas jerawatku,positif
99,sayangnya harganya terlalu mahal untuk hasil yang didapat,netral
100,pemakaian yang konsisten membuat kulit jadi lebih cerah dan sehat,negatif
